No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
1,Lenovo Legion 9i i9-14900HX RTX4090 2TB SSD 64GB 3K Mini LED 100%sRGB 165Hz Win11+OHS,77999000,Tidak Ada Rating,Tidak Ada Data,Lenovo Authorized Jakarta Barat,Jakarta Barat
2,LENOVO THINKPAD PRO P15 WORKSTATION XEON W11855 RTX A5000 128GB 1TB 4K,69999000,5.0,30+ terjual,ProStoreComputer,Jakarta Utara
3,Dell Mobile Precision 5680 - Core i7-13800H 32GB 1TB RTX2000 W11 Pro,62889000,5.0,3 terjual,DELL PREMIUM OFFICIAL,Jakarta Barat
4,ASUS ZENBOOK PRO 16X OLED UX7602BZ TOUCH I9 13905 RTX4080 32GB 2TB W11,59999000,4.8,11 terjual,ProStoreComputer,Jakarta Utara
5,ASUS Zenbook 17 Fold OLED UX9702AA i7-1250U 16GB 1TB W11+OHS,50999000,5.0,5 terjual,KBM 24 STORE,Jakarta Utara
6,DELL LATITUDE 13 7340 TOUCH I7 1365 16GB 512GB W11PRO OFFICE 13.3FHD,50000000,5.0,18 terjual,ProStoreComputer,Jakarta Utara
7,HP ZBOOK POWER 16-G11 ULTRA 7-155H 64GB 1TB RTX2000 ADA 8GB W11 PRO TOUCH,45999000,Tidak Ada Rating,Tidak Ada Data,Global Persada System,Jakarta Pusat
8,Asus ROG Zephyrus AI G16 Oled GA605WI RYZEN AI 9 HX370 RTX4070 8GB 32GB 1TB 16QHD 240HZ,45699000,Tidak Ada Rating,Tidak Ada Data,ALIENWARE GAMING STORE,Jakarta Utara
9,"LENOVO THINKPAD PRO P16 WORKSTATION RTX4090 CORE I9 13900 16GB/ 32GB 1TB W11PRO 16""QHD IPS",43989000,Tidak Ada Rating,Tidak Ada Data,ALIENWARE GAMING STORE,Jakarta Utara
10,"ASUS ROG STRIX SCAR 16 G634JY CORE I9 13980 RTX4090 64GB 2TB W11PRO 16""QHD IPS 240Hz",41999000,5.0,13 terjual,ALIENWARE GAMING STORE,Jakarta Utara
11,LENOVO THINKPAD X1 CARBON G11 TOUCH I7 1355 1370P 64GB 1TB W11PRO 14.0FHD IPS,40999000,5.0,12 terjual,ProStoreComputer,Jakarta Utara
12,Huawei MateBook X Pro Laptop Intel i7 12th Gen 16GB 1TB Garansi Resmi,39999000,Tidak Ada Rating,Tidak Ada Data,Kumparan Cellular,Jakarta Timur
13,Asus ROG Zephyrus G16 GU605MV-I946OL7G-O Ultra 9 185H 32GB 1TB SSD RTX4060 8GB 16″ 2.5K OLED 240Hz Win 11 Home OHS Eclipse Gray,39999000,5.0,30+ terjual,ASUS ROG Indonesia,Jakarta Pusat
14,"Asus Proart Studiobook Pro 16 OLED RTXA3000 I9 13980 64GB 2TB 16"" 3.2K",39500000,Tidak Ada Rating,1 terjual,AI Official Store,Jakarta Utara
15,"Macbook Pro M3 Max  16"" inch 2023 iBox 48GB 512GB 1TB Grey Silver",38852000,5.0,100+ terjual,Digitalisme Store,Jakarta Pusat
16,Lenovo ThinkPad X1 Carbon Gen 12 Core Ultra 7 165U 32GB 1TB W11 Pro Touch,38300000,5.0,6 terjual,Lenovo Official,Jakarta Pusat
17,Lenovo Thinkpad X1 Yoga Gen 9 2in1 Intel Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro Touchscreen 5YID,37799000,5.0,3 terjual,Thinkpad Official Store,Jakarta Utara
18,Lenovo ThinkPad P14s Gen 5 (Intel) Core Ultra 7 165H 32GB 1TB SSD W11Pro,36500000,Tidak Ada Rating,1 terjual,Lenovo Official,Jakarta Pusat
19,"Lenovo Thinkpad X1 Carbon Gen 12 2024 Intel Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro Touch 14""",35999000,5.0,27 terjual,Thinkpad Official Store,Jakarta Utara
20,Lenovo ThinkPad X1 Carbon Intel Ultra 7 165U 1TB SSD 32GB 100%sRGB Win11Pro,35250000,Tidak Ada Rating,3 terjual,Lenovo Authorized Jakarta Barat,Jakarta Barat
21,Lenovo ThinkPad Z13 Gen 1 - 3TID AMD Ryzen 7 Pro 32GB 1TB 680M,35047000,5.0,3 terjual,Lenovo Authorized Jakarta Selatan,Jakarta Barat
22,MSI STEALTH A1VGG 16  MERCEDES OLED ULTRA 9 185H RTX4070 32GB 2TB W11+OHS 16.0QHD+ 240HZ,34999000,5.0,15 terjual,MSI STORE ID_NEW,Jakarta Pusat
23,Lenovo ThinkPad X12 Detachable Gen 2 Core Ultra 7 164U 32GB 1TB SSD Win 11 Pro,34899000,5.0,3 terjual,Lenovo Official,Jakarta Pusat
24,"ASUS ZENBOOK 17 FOLD OLED UX9702AA TOUCH I7 1250 16GB 1TB W11PRO 17.3""",34799000,Tidak Ada Rating,1 terjual,Gaming Laptop ID,Jakarta Utara
25,Lenovo Thinkpad X1 Carbon Gen 12 2024 Intel Core Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro 7XID,34199000,5.0,20 terjual,Thinkpad Official Store,Jakarta Utara
26,LENOVO THINKPAD X1 YOGA GEN 8 21HQ007YID - i7-1365U/16GB/1TB/TS14/GREY,33999000,Tidak Ada Rating,Tidak Ada Data,IT Galeri,Tangerang Selatan
27,"ASUS ZenBook Pro 14 OLED UX6404VI-OLEDS911 intel core i9-13900H ram 16GB ssd 1TB 14.5"" 2.8K W11 OHS",33999000,Tidak Ada Rating,Tidak Ada Data,Super Laris IT,Makassar
28,Apple Macbook Pro M4 Pro 14 inch - Garansi Resmi Apple Indonesia iBox,32999000,5.0,30+ terjual,Universe Store,Jakarta Utara
29,Lenovo ThinkPad P16v Gen 1 (Intel) Core i7-13700H 16G 1T RTX A500 4GB,32999000,5.0,2 terjual,Lenovo Official,Jakarta Pusat
30,Lenovo YOGA Pro 9 14 RTX4060 i9 13905H 32/1TBSSD W11 OHS 3K Mini LED,32899000,Tidak Ada Rating,Tidak Ada Data,AI Official Store,Jakarta Utara
31,"Lenovo ThinkPad X13 2in1 Gen 5 Intel Core Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro IPS 2SID 13""",32399000,5.0,2 terjual,Thinkpad Official Store,Jakarta Utara
32,Apple MacBook Pro M4 Pro Max 2024 14 Inch 36GB 24GB / 1TB 512GB,32321000,Tidak Ada Rating,80+ terjual,Distributor Laptop ID,Jakarta Pusat
33,Apple MacBook Pro M4 Pro Max 14-Inch 1TB 512GB SSD RAM 36GB 24GB,32271000,4.9,100+ terjual,Studio Ponsel,Jakarta Pusat
34,Apple MacBook Pro M4 Pro Max 14-Inch 1TB 512GB SSD RAM 36GB 24GB,32270998,Tidak Ada Rating,25 terjual,A-Trinity Komputer,Jakarta Pusat
35,"Dell Latitude 7350 - Intel Ultra 7 165H vPro 32GB 1TB SSD IrisXe 13,3"" TOUCH WIN11 PRO Resmi 3 Tahun",31999000,Tidak Ada Rating,Tidak Ada Data,HOSANA COMPUTER,Jakarta Pusat
36,Asus Vivobook Pro 16X OLED N7601ZM [i9-12900H|RTX 3060|RAM 32GB|SSD 1TB|Win11|OHS21],31749000,5.0,7 terjual,megacom.id,Jakarta Pusat
37,"ASUS Zenbook DUO UX8406MA Ultra 9-185H 32GB 2TB 14"" 3K OLED 120Hz W11 OHS",31439000,5.0,30+ terjual,Collins Official,Jakarta Pusat
38,"Lenovo Yoga Slim 7i 15ILL9 EVO - Ultra 7 258V 32GB 1TB SSD 15.3"" Touch",31299000,5.0,6 terjual,INTEL STORE ID,Jakarta Utara
39,Lenovo Yoga Slim 9i Ultra 7 258V 1TB SSD 32GB 4K WQUXGA OLED 120Hz 100%sRGB Copilot+ Touch Win11+OHS,30999000,Tidak Ada Rating,Tidak Ada Data,Lenovo Authorized Tangerang,Tangerang
40,Asus Zenbook DUO OLED UX8406MA Intel Core Ultra 9 32GB 2TB OHS21,30999000,5.0,70+ terjual,Distributor Laptop ID,Jakarta Pusat
41,Lenovo ThinkPad X13 Gen 5 Core Ultra 7 165U 32GB 1TB SSD Win 11 Pro,30950000,Tidak Ada Rating,1 terjual,Lenovo Official,Jakarta Pusat
42,HP Omnibook Ultra Flip 14 OLED Intel Ultra 9 288V 32GB 2TB SSD W11 14.0 2.8K VRR 120Hz OHS,30199000,5.0,2 terjual,Top Tech Comp,Jakarta Utara
43,"HP OmniBook Ultra Flip 14 ULTRA 9 288V 32GB 2TB OLED w11 14"" 2.8k",30199000,Tidak Ada Rating,1 terjual,AGRES ID,Jakarta Utara
44,LENOVO THINKPAD X1 NANO CARBON GEN2 I7 1260P 16GB 1TBSSD W11PRO 13.0FHD,30000000,Tidak Ada Rating,2 terjual,AI Official Store,Jakarta Utara
45,Lenovo Yoga Book 9 13IMU9 Intel Core Ultra 7 155U RAM 32GB 1TB SSD 2x 2.8K OLED Multi Mode,29999000,5.0,30+ terjual,Distributor Laptop ID,Jakarta Pusat
46,Lenovo Yoga Book 9i Intel Ultra 7 155U 1TB SSD 32GB 2.8K OLED Touch Win11,29999000,4.4,17 terjual,Sinarmulia Sukses Makmur,Jakarta Barat
47,DELL XPS 13 PLUS 9320 / XPS 9340 ULTRA 7 155H 16GB 1TB W11 13.4FHD IPS,29999000,4.9,100+ terjual,ProStoreComputer,Jakarta Utara
48,LENOVO THINKBOOK 13X-13IMH-22ID INTEL ULTRA 9-185H 32GB 1TB UMA W11 PRO TOUCH,29999000,5.0,1 terjual,Global Persada System,Jakarta Pusat
49,"Lenovo Yoga Book 9 13IMU9 Intel Ultra 7 155U RAM 32GB SSD 1TB W11+OHS 2x13.3"" 2.8K OLED 2in1 Touchscreen 100% DCI-P3 EVO Backlit 3Y+3ADP",29999000,5.0,60+ terjual,Lenovo Yoga Official,Jakarta Pusat
50,HP Spectre X360 14 EA0030TU i7 1165G7|16GB|2TB SSD|4K OLED|FREE OHS,29999000,5.0,2 terjual,KBM 24 STORE,Jakarta Utara
51,Lenovo Yoga Book 9 Oled Touch Ultra 7 155U 32gb 1tb ssd Windows 11 Pro 13.3 2.8K dual screen,29999000,5.0,2 terjual,GADGET SULTAN ID,Jakarta Pusat
52,Lenovo Yoga Book 9 13IMU9 0GID [Intel Core Ultra 7 155U/32GB/1TB SSD/Win11+OHS],29999000,5.0,2 terjual,INTIKOM STORE,Medan
53,Macbook Pro M4 2024 M4 Pro Max 14 Inch 16 Inch 1TB 512GB SSD 16GB 24GB 36GB RAM Space Black Silver,29619000,5.0,40+ terjual,AMPM EXPRESS,Jakarta Pusat
54,"Lenovo Yoga Slim 7 Oled EVO - Core Ultra 7 155H 16GB 1TB 14.0"" Touch",28999000,5.0,40+ terjual,INTEL STORE ID,Jakarta Utara
55,Asus Zenbook PRO Duo 14 OLED UX8402 I7 12700 16GB 1TB SSD W11,28995000,5.0,2 terjual,OrKa,Jakarta Utara
56,"Macbook Pro M3 Max 14"" inch 2023 iBox 48GB 512GB 1TB Grey Silver Pro",28884000,5.0,100+ terjual,Digitalisme Store,Jakarta Pusat
57,Lenovo Yoga Book 9 13IMU9 0GID Core Ultra 7 155U 32GB 1TB W11+OHS21,28750000,5.0,5 terjual,Lenovo Authorized Bandung,Bandung
58,Lenovo Thinkpad Pro P16 Workstation 4K RTX A1000 4GB I9 12900HX 128GB,28712000,Tidak Ada Rating,Tidak Ada Data,JAGO Notebook,Kab. Tangerang
59,"LENOVO Yoga Pro 7 14IMH9 Ultra 9-185H RTX4060 32GB 1TB 14.5"" 3K TOUCH W11 OHS",28667000,5.0,3 terjual,Lenovo Authorized Bekasi,Jakarta Timur
60,Lenovo Yoga Book 9 2024 OLED Touch Ultra 7 155U 32GB 1TBssd 2.8K Dual Screen,28649000,5.0,4 terjual,Ten Com,Jakarta Selatan
61,Lenovo Yoga Book 9 13IMU9 Intel Ultra 7 155u 32GB 1TB Windows 11 OHS OLED 2in1 Touchscreen Dual Screen 0GID,28649000,5.0,11 terjual,Thinkpad Official Store,Jakarta Utara
62,"LENOVO Yoga Book 9 Ultra 7-155U 32GB 1TB w11 ohs 13.3"" 2.8k oled touch",28649000,5.0,14 terjual,AGRES ID,Jakarta Utara
63,"Lenovo Yoga Pro 7 EVO Touch - RTX4060 Ultra 9 185H 32GB 1TB SSD 14.5"" 3K",28599000,5.0,14 terjual,INTEL STORE ID,Jakarta Utara
64,HP EliteBook 840 Gen11 Touch Ultra 7 155U 32GB 1TBSSD W11 Pro Wuxga 3Year,28549000,Tidak Ada Rating,1 terjual,Digitalzone Tangcity,Tangerang
65,Lenovo Yoga Pro 7i Intel Ultra 9 185H RTX4060 1TB SSD 32GB IPS 3K 120Hz Touch Win11+OHS,28499000,5.0,30+ terjual,Sinarmulia Sukses Makmur,Jakarta Barat
66,LENOVO Yoga Pro  7 GeForce RTX 4060 - ULTRA 9 185H 32GB 1TBSSD 120Hz,28499000,5.0,10 terjual,NVIDIA GeForce Laptop,Jakarta Utara
67,ASUS ZenBook Pro Duo UX8402ZA i7-12700H 16GB 512GB SSD W11H OHS 21 2YR,28449000,Tidak Ada Rating,Tidak Ada Data,Intech Nusa Solusi,Jakarta Pusat
68,ASUS VIVOBOOK PRO 16 K6602VU I9 13900H RTX4050 16GB 1TB W11+OHS OLED,28399000,4.8,40+ terjual,ProStoreComputer,Jakarta Utara
69,Asus Vivobook S14 Oled M5406WA Ryzen AI 9 365 24GB 1TB W11+OHS 13.9 3K 120HZ,28000000,5.0,60+ terjual,ALIENWARE GAMING STORE,Jakarta Utara
70,ASUS VIVOBOOK PRO 16X K6604JV I9 13980HX RTX4060 32GB 1TB W11+OHS OLED,27999000,4.9,70+ terjual,ProStoreComputer,Jakarta Utara
71,ASUS ZENBOOK S14 UX5406SA OLED TOUCH ULTRA 7 258V 32GB 1TB W11+OHS 14.0 3K -OLEDS712TM,27999000,5.0,30+ terjual,ProStoreComputer,Jakarta Utara
72,DELL XPS 13 PLUS 9320 OLED I7 1360P 32GB 1TB W11+OHS 13.4 IPS TOUCH,27999000,5.0,40+ terjual,ProStoreComputer,Jakarta Utara
73,"Lenovo Yoga Book 9 13IRU8 09ID Core i7-1355U 16GB 1TB 13.3"" 2.8K Touch",27999000,Tidak Ada Rating,Tidak Ada Data,Super Laris IT,Makassar
74,"ASUS ZENBOOK S14 OLED UX5406SA ULTRA 7-258V 32GB 1TB w11+ohs 14"" 3k",27998000,5.0,25 terjual,AGRES ID,Jakarta Utara
75,Apple MacBook Pro M4 Chip 14-Inch 1TB 512GB SSD 24GB RAM Grey Silver,27949000,5.0,70+ terjual,Studio Ponsel,Jakarta Pusat
76,Asus Vivobook Pro 16X OLED K6604JV RTX4060 I9 13980HX 32GB 1TB W11+OHS 3K,27799000,Tidak Ada Rating,1 terjual,AI Official Store,Jakarta Utara
77,Asus Zenbook Duo UX8406MA ULTRA 9 185H RAM 32GB 1TB OLED Touch W11 14.0 3K,27599000,5.0,30+ terjual,ALIENWARE GAMING STORE,Jakarta Utara
78,"ASUS ZENBOOK DUO UX8406MA OLED ULTRA 9 185H 32GB 1T 14"" 3K TOUCH 120Hz",27599000,5.0,14 terjual,Top Tech Comp,Jakarta Utara
79,Lenovo Legion Pro 5 16 16IRX9 i7-14650HX RTX4060 16GB 1TB W11 OHS,27599000,5.0,40+ terjual,Lenovo Legion Official,Jakarta Pusat
80,"Microsoft Surface Laptop 7 13"" or 15"" Edition Copilot+ PC, Snapdragon X Elite (12 Core) or X Plus (10 Core)",27500000,5.0,6 terjual,Jullindo,Jakarta Timur
81,HP Spectre x360 eu0071TU / eu0072TU Ultra 7 155H 32GB 1TB 14″ 2.8K OLED Touch W11 OHS,27500000,Tidak Ada Rating,1 terjual,Collins Official,Jakarta Pusat
82,Laptop Asus Zenbook Duo UX8406MA OLEDS711 Intel Core Ultra 7-155H 16GB 1TB SSD 14″ 3K Touch Win 11 + OHS - Inkwell Grey,27499000,5.0,10 terjual,ASUS ROG Indonesia,Jakarta Pusat
83,LENOVO YOGA PRO 7 14 TOUCH I7 13700H RTX4050 16GB 1TB W11+OHS 3K 120HZ,27499000,5.0,15 terjual,ProStoreComputer,Jakarta Utara
84,"HP Spectre x360 14-EU0004TU/14-EU0005TU Ultra 7-155H 32GB 14"" 2.8K OLED TOUCH 120Hz W11 OHS",27349000,5.0,14 terjual,Collins Official,Jakarta Pusat
85,Asus Zenbook S14 OLED Touch UX5406SA Ultra 7 258V 32GB 1TB W11+OHS 14.0 3K,27199000,5.0,60+ terjual,ALIENWARE GAMING STORE,Jakarta Utara
86,"ASUS ZENBOOK S14 UX5406SA-OLED712TM ULTRA 7 258V 32GB 1TB ARC GRAPHICS 14"" 3K OLED 120Hz W11 OHS + OFFICE 365 WHITE [90NB14F4-M00JU0]",27019000,5.0,6 terjual,INFONET Mangga Dua,Jakarta Pusat
87,DELL XPS 15 9530 i7-13700 16GB 1TB A370M W11 15.6FHD WUXGA,26999000,5.0,15 terjual,ALIENWARE GAMING STORE,Jakarta Utara
88,"ASUS Zenbook S 14 UX5406SA Ultra 7-258V 32GB 1TB 14"" 3K 120Hz W11 OHS",26999000,4.9,30+ terjual,Collins Official,Jakarta Pusat
89,ASUS ZenBook Pro 14 OLED UX6404VI RTX4070 Core I9 13900H 16GB 1TB 2.8K,26999000,Tidak Ada Rating,2 terjual,AI Official Store,Jakarta Utara
90,ASUS ZENBOOK PRO 14X OLED UX6404VI I9 13900 RTX4070  32GB 1TB W11 14.5QHD,26999000,Tidak Ada Rating,Tidak Ada Data,Gaming Laptop ID,Jakarta Utara
91,"Asus Zenbook Pro 14X OLED UX6404VI Touch i9 13900 RTX4070 8GB/ 32GB 1TB W11 14.5"" QHD 2.8K 120HZ",26999000,Tidak Ada Rating,1 terjual,royalltech,Jakarta Utara
92,ASUS EXPERTBOOK B9450FA-GV7110R i7-10510U 16GB 1TB SSD WIN10 FHD,26999000,5.0,3 terjual,KBM 24 STORE,Jakarta Utara
93,Asus Zenbook S 14 ux5406 Ultra 7 258V 32GB 2TB SSD W 11 + OHS OLED 3K Touch Screen,26999000,5.0,1 terjual,ROGZ Online,Jakarta Pusat
94,"DELL LATITUDE 5340 - I7 1365U 16GB 512GB SSD 13.3""FHD W11 PRO RESMI",26999000,Tidak Ada Rating,Tidak Ada Data,Anugerah Digital Lestari,Jakarta Pusat
95,Laptop HP SPECTRE X360 14 OLED EU0004TU / EU0005TU Intel ULTRA 7 155H 32GB 2TB W11+OHS 14.0 2.8K 120HZ BLIT PEN 2Y+ADP 2IN1 EVO,26966000,5.0,7 terjual,AGRES - HP Authorized,Jakarta Utara
96,ASUS Zenbook S 14 UX5406SA-OLEDS711TM Core Ultra 7 258V 32GB 1TB SSD 14″ 3K Touch WIN11 OHS21 M365,26799000,Tidak Ada Rating,Tidak Ada Data,StarComp Semarang,Semarang
97,"MSI Summit A16 AI+ A3HMTG Touch Ryzen AI 9 365 32GB 1TB 16""WQXGA 165HZ 100DCIP3",26789000,5.0,5 terjual,ALIENWARE GAMING STORE,Jakarta Utara
98,"ASUS Zephyrus G14 OLED GA403UV Ryzen 9 8945HS 16GB 1T RTX4060 8GB 14"" 3K",26599000,5.0,40+ terjual,Top Tech Comp,Jakarta Utara
99,ASUS ZENBOOK S13 OLED UX5304VA EVO CORE I7 1355U 16GB 1TB IRISXE OHS,26499000,4.9,13 terjual,ROGS STORE,Jakarta Utara
100,"ASUS Zenbook S14 OLED UX5406SA Touch ULTRA 7 258V 32GB 1TB SSD 14""3K OLED W11 OHS",26499000,5.0,3 terjual,We Itech,Jakarta Barat
101,ASUS ZENBOOK S 14 OLED UX5406SA - INTEL ULTRA 7-258V 32GB 1TB OHS W11 TOUCH,26499000,5.0,7 terjual,Asus Store Makassar,Makassar
102,"HP OmniBook Ultra Flip 14-fh0777TU/fh0888TU ULTRA 7-258V 32GB 1TB w11+ohs 14"" 2.8k",26399000,5.0,30+ terjual,AGRES ID,Jakarta Utara
103,LENOVO THINKPAD X1 CARBON Gen 12 ULTRA 7 165U 32GB 1TB W11PRO 14.0FHD IPS,26399000,5.0,1 terjual,Deca Computer,Jakarta Utara
104,Laptop HP OMNIBOOK ULTRA FLIP 14 2IN1 INTEL EVO ULTRA 7 258V 32GB 1TB W11+OHS 14.0 2.8K OLED VRR 120HZ 2Y+ADP,26399000,5.0,10 terjual,AGRES - HP Authorized,Jakarta Utara
105,DELL Latitude 7420 i7-1165G7 16GB 1TB SSD WIN10PRO 3YR,26350000,5.0,5 terjual,Intech Nusa Solusi,Jakarta Pusat
106,"LENOVO THINKPAD X1 CARBON G12 TOUCH CORE ULTRA 7 165 32GB 1TB SSD W11PRO 14.0""FHD IPS",26299000,Tidak Ada Rating,4 terjual,ROGS STORE,Jakarta Utara
107,Apple Macbook Pro M4 14 inch - Garansi Resmi Apple Indonesia iBox,26249000,5.0,80+ terjual,Universe Store,Jakarta Utara
108,"ASUS Zenbook S 14 OLED UX5406SA-OLEDS711TM OLEDS712TM Intel Core Ultra 7 ram 32GB ssd 1TB 14"" 3K OLED W11 OHS",26199000,5.0,1 terjual,Super Laris IT,Makassar
109,"Lenovo Thinkpad X1 Carbon G12 Touch Ultra 7-165U 32GB 1TB W11PRO 14"" WUXGA",26199000,5.0,2 terjual,Gateway Indonesia Comp,Jakarta Utara
110,"Lenovo Yoga Slim 7 Oled EVO - Core Ultra 5 125H 16GB 512G 14.0"" Touch",26099000,5.0,30+ terjual,INTEL STORE ID,Jakarta Utara
111,ASUS Zenbook S 14 OLED UX5406SA  Intel Core Ultra 7 RAM 32GB 1TB SSD 14 3K OLED,26097000,Tidak Ada Rating,30+ terjual,Distributor Laptop ID,Jakarta Pusat
112,"[ PROMO LIVE ] ASUS Zenbook S14 UX5406SA INTEL Ultra 7 258V RAM 32GB SSD 1TB 14"" 3K 120Hz TOUCH WINDOWS 11 OHS GARANSI RESMI",26000000,5.0,4 terjual,TIST Online,Jakarta Pusat
113,Lenovo Thinkpad L14 Gen 4  i7-1355U 16 GB 512 SSD TOUCH W11 Pro,25999000,5.0,10 terjual,Lenovo Official,Jakarta Pusat
114,"Huawei Matebook 14 Intel Core Ultra 14.2"" 16GB 1TB SSD W11",25999000,Tidak Ada Rating,3 terjual,Tidak Ada Data,Tidak Ada lokasi
115,"ASUS Vivobook Pro 16 OLED K6602VU i9-13900H RTX4050 1TB 16"" 3.2K W11",25999000,5.0,4 terjual,Gaming Laptop ID,Jakarta Utara
116,Asus Zenbook DUO 2024 OLED Ultra 9 185H 32GB 2 TB SSD 3K 120Hz,25899000,Tidak Ada Rating,5 terjual,Kang Laptop,Jakarta Selatan
117,ASUS ZENBOOK DUO UX8406MA OLED 3K TOUCH ULTRA 9 ULTRA 7 32GB 2TB 14.0,25889000,4.9,100+ terjual,ProStoreComputer,Jakarta Utara
118,Asus Zenbook Duo ux8406 Ultra 7 155H 16GB 1TB SSD W11+ OHS Dual Screen,25699000,5.0,6 terjual,ROGZ Online,Jakarta Pusat
119,Dell Latitude 5350 Core Ultra 7 165U vPro 16GB 1TB SSD W11PRO 3YR,25499000,5.0,3 terjual,BESTechno88,Jakarta Pusat
120,ASUS ZENBOOK PRO DUO UX8406MA INTEL ULTRA I7 155H 16GB DDR5 1TB,25449000,5.0,2 terjual,KLIKNKLIK_AMB5,Jakarta Selatan
121,LENOVO YOGA PRO 7 14 TOUCH RTX4060 ULTRA 9 185H 32GB 1TB W11+OHS 120HZ,25399000,5.0,50+ terjual,ProStoreComputer,Jakarta Utara
122,LENOVO YOGA PRO 7 14 TOUCH ULTRA 9 185H RTX4060 32GB 1TB W11+OHS 120HZ,25399000,5.0,50+ terjual,ProStoreComputer,Jakarta Utara
123,"Laptop DELL XPS 16 9640 ULTRA 7 155H RTX4050 16GB 1TB W11 16.3"" FHD",25299000,Tidak Ada Rating,Tidak Ada Data,Gaming Laptop ID,Jakarta Utara
124,"Laptop 17"" LG Gram paling ringan",25109100,5.0,14 terjual,ponders,Jakarta Utara
125,"Dell Latitude 5450 - Ultra 7 165U 16GB SSD 1TB W11 PRO 14"" FHD IPS GRAY",25085000,5.0,1 terjual,Anugerah Digital Lestari,Jakarta Pusat
126,LENOVO YOGA SLIM 7 15 TOUCH ULTRA 7 258V 32GB 1TB 15.3 2.8K 120HZ W11 OHS,24999000,5.0,11 terjual,Collins Official,Jakarta Pusat
127,"Lenovo Yoga Slim 7 15 ULTRA 7-258V 32GB 1TB w11+ohs 15"" 2.8k",24999000,5.0,9 terjual,AGRES ID,Jakarta Utara
128,Lenovo Legion 5 16IRX9 BWID i7-14650HX 16GB 512GB SSD RTX4050 6GB 16″ W11OHS,24999000,Tidak Ada Rating,Tidak Ada Data,PLAZA IT STORE,Medan
129,DELL XPS 14 9440 OLED TOUCH ULTRA 7 155H 32GB 1TB W11 14.5 3.2K,24999000,Tidak Ada Rating,5 terjual,Gaming Laptop ID,Jakarta Utara
130,HP ZBOOK FIREFLY 14 G8 Core i7-1165G7 16GB 512GB T500 4GB TOUCH,24700000,5.0,9 terjual,HPE Indonesia,Jakarta Pusat
131,"ASUS ProArt PZ13 HT5306QA SNAPDRAGON X PLUS X1P 42100 16GB 1TB 13.3"" OLED Touchscreen - Asus Pro Art",24699000,5.0,19 terjual,TeknoTrend,Jakarta Pusat
132,Lenovo ThinkPad L13 Gen 5 Intel Core Ultra 7 155U 16GB RAM 1TB SSD Windows 11 Pro 13.3 Inch IPS 22ID,24299000,Tidak Ada Rating,2 terjual,Thinkpad Official Store,Jakarta Utara
133,"ASUS ProArt PZ13 HT5306QA SNAPDRAGON X PLUS X1P 42100 16GB 1TB 13.3"" OLED TOUCH W11 OHS",24299000,5.0,16 terjual,Collins Official,Jakarta Pusat
134,"Acer Aspire 5 Spin A5SP14 - Core I7 1355U 16GB 512SSD IrisXe 14"" Touch",24299000,5.0,25 terjual,INTEL STORE ID,Jakarta Utara
135,"ACER HELIOS NEO 16 PHN16-72-733C I7 14700HX 16GB 1TB RTX4060 8GB 16"" IPS WUXGA W11 OHS",24099000,5.0,1 terjual,Acer Authorized Jakarta Utara,Jakarta Utara
136,HP SPECTRE OLED X360 14 EF0003TU i7 1255U 16GB 1TBSSD 3K W11+OHS,23999000,5.0,7 terjual,Digitalzone Tangcity,Tangerang
137,ACER TRAVELMATE P414 (TMP414/0002) TKDN i7-1260P 16GB/512GB WIN 11 PRO,23999000,Tidak Ada Rating,Tidak Ada Data,ZX'computer,Jakarta Pusat
138,"ASUS VivoBook S 14 S5406SA Ultra 7 258V Arc Graphics 32GB 1TB 14"" OLED",23999000,5.0,26 terjual,TeknoTrend,Jakarta Pusat
139,OneNetbook Onemix 5 One Mix 5 Laptop mini Gaming Core i7-1250U Win11,23999000,5.0,13 terjual,Toko hamder,Kab. Bandung
140,"LENOVO THINKPAD X1 CARBON G12 TOUCH CORE ULTRA 7 165 32GB 1TB SSD W11PRO 14.0""FHD IPS",23899000,5.0,1 terjual,EnVicStore,Jakarta Utara
141,HP Envy 16 Touch RTX4060 8GB I9 13900H 64GB 2TB W11 16.0QHD IPS 120HZ,23749000,Tidak Ada Rating,1 terjual,JAGO Notebook,Kab. Tangerang
142,"Lenovo Yoga Pro 7 EVO Oled - RTX4050 ULTRA 7 155H 32GB 1TB SSD 14.5"" 2.8K",23699000,4.8,13 terjual,INTEL STORE ID,Jakarta Utara
143,LENOVO YOGA PRO 9 16 3K TOUCH I9 13905 RTX4050 32GB 1TB W11 16.0QHD,23699000,4.7,23 terjual,ProStoreComputer,Jakarta Utara
144,LENOVO YOGA PRO 9 16 3K TOUCH I9 13905 RTX4050 32GB 1TB W11+OHS QHD,23699000,5.0,10 terjual,ProStoreComputer,Jakarta Utara
145,ASUS Vivobook Pro 16 OLED K6602VU I9 13900H 16GB 1TB SSD RTX4050 W11+OHS 3K,23699000,Tidak Ada Rating,2 terjual,AI Official Store,Jakarta Utara
